#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
14666389_480_A1CF6U3GF7DZEJ	dev	0	[3, 2413, 8, 924, 4064]	[3, 2413, 8, 426, 4064]	[222, 100, 3, 2413, 12, 1958, 14, 193, 4, 243, 100, 12, 485, 6]	[222, 8, 57, 529, 4, 100, 485]	[18, 222, 100, 3083, 485, 57, 203, 5]	[21, 222, 404, 325, 57, 529, 4, 100, 485, 30, 10, 26, 2489, 4, 3, 2518, 26, 1294, 607, 407, 5]
15986315_66_A1LZPWVZRTUZD0	dev	0	[97, 3731, 12, 459, 10, 223, 195, 415, 52, 2466, 861, 17, 3, 168]	[97, 3731, 12, 459, 10, 223, 94, 52, 2466, 861, 17, 3, 168]	[143, 351, 21, 2189, 427, 3731, 12, 459, 6]	[520, 8, 238, 7, 473]	[8, 520, 238, 7, 473, 5]	[8, 2228, 520, 39, 88, 12, 7, 473, 14, 3, 117, 39, 51, 2271, 5]
16803626_23_A3PILUAB7LZGWQ	dev	0	[61, 2860, 43, 480, 33, 867]	[61, 2860, 43, 5004, 67, 480, 33, 867]	[4295, 713, 248, 7, 61, 2860, 625, 52, 301, 6]	[4296, 2479, 1194]	[41, 4297, 2479, 1194, 5]	[21, 61, 809, 4148, 102, 569, 57, 591, 7, 712, 17, 140, 531, 5, 10, 26, 1646, 61, 809, 16, 30, 1053, 19, 5]
15885882_232_AE861G0AY5RGT	dev	1	[7, 178, 1281, 17, 3, 73, 43, 3, 830, 4, 137, 88, 29, 4, 3, 135, 52, 19, 152, 4, 714, 44]	[7, 178, 1281, 17, 3, 73, 3588, 11, 21, 3, 830, 4, 137, 88, 29, 4, 3, 135, 52, 19, 152, 4, 714, 44]	[262, 13, 15, 1365, 62, 22, 380, 25, 394, 17, 3, 527, 9, 151, 6]	[2534, 1297, 262]	[13, 116, 1297, 262, 116, 15, 1772, 5]	[1285, 2199, 1724, 10, 1088, 14, 55, 641, 4, 3, 679, 1232, 23, 7, 178, 1281, 17, 3, 117, 8, 7, 117, 1024, 6, 8, 69, 7, 38, 687, 5]
15418829_270_A2QVMCGDLTWV9	dev	0	[3, 339, 174, 1273, 1553, 4814, 3887, 887]	[3, 339, 174, 8, 588, 4, 5067, 3887, 887]	[3, 339, 174, 785, 185, 3887, 6]	[339, 174, 8, 11, 57, 927]	[8, 3, 339, 174, 57, 927, 5]	[8, 2248, 2057, 3, 99, 75, 4, 460, 653, 519, 5, 30, 8, 224, 99, 3312, 3271, 5]
15164629_468_A3C9GGDXBZW62D	dev	1	[3896, 18, 20, 27, 4, 15, 4083, 4, 15, 758]	[3896, 27, 4, 15, 4083, 4, 15, 758]	[1208, 3896, 21, 437, 102, 5008, 6]	[1208, 8, 11, 7, 910, 326]	[8, 1208, 7, 910, 326, 5]	[18, 32, 72, 27, 4, 1298, 103, 2496, 2512, 31, 729, 12, 55, 1742, 1944, 5]
15978831_359_A1DJNUJZN8FE7N	dev	1	[278, 24, 581, 3, 4392, 87, 88, 1686]	[278, 24, 11, 581, 3, 4392, 87, 271, 1686]	[143, 351, 155, 739, 12, 3, 4905, 278, 43, 4, 495, 87, 715, 146, 3, 347, 6]	[520, 8, 238, 7, 473]	[8, 520, 238, 7, 473, 5]	[8, 2228, 520, 39, 88, 12, 7, 473, 14, 3, 117, 39, 51, 2271, 5]
16630140_37_A2QVMCGDLTWV9	dev	1	[1206, 1374, 2541, 33, 3, 406, 12, 360]	[1206, 41, 11, 488, 2541, 33, 3, 406, 12, 360]	[951, 21, 92, 106, 619, 528, 4, 78, 7, 1206, 6]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
14663382_122_A34QZDSTKZ3JO9	dev	0	[49, 10, 1279, 1571, 47, 210, 3, 73]	[49, 10, 381, 47, 210, 3, 73]	[32, 4040, 222, 10, 587, 3294, 485, 47, 210, 3, 73, 9, 19, 8, 11, 4824, 6]	[222, 8, 57, 529, 4, 100, 485]	[18, 222, 100, 3083, 485, 57, 203, 5]	[21, 222, 404, 325, 57, 529, 4, 100, 485, 30, 10, 26, 2489, 4, 3, 2518, 26, 1294, 607, 407, 5]
15167053_560_A1LZPWVZRTUZD0	dev	0	[1280, 8, 364, 2532, 3, 153]	[1280, 8, 755, 614, 35, 5205, 2532, 3, 153]	[1280, 1577, 1208, 4, 15, 2490, 6]	[1208, 8, 7, 910, 326]	[8, 1208, 7, 910, 326, 5]	[18, 32, 72, 27, 4, 1298, 103, 2496, 2512, 31, 729, 12, 55, 1742, 1944, 5]
16986890_91_A1HKYY6XI2OHO1	dev	1	[637, 27, 7, 383, 4455, 296, 9, 602]	[637, 18, 20, 27, 282, 4455]	[1580, 33, 35, 357, 3575, 21, 102, 2317, 4, 15, 5040, 6]	[19, 8, 11, 562, 4, 362, 637, 119]	[8, 19, 562, 4, 362, 637, 119, 5]	[39, 34, 1995, 25, 1997, 9, 908, 14, 1455, 1978, 16, 13, 26, 330, 4, 1981, 4, 495, 594, 9, 1508, 1485, 5]
