#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
14666389_480_A1CF6U3GF7DZEJ	dev	0	[3, 2686, 12, 1029, 4610]	[3, 2686, 12, 836, 4610]	[473, 96, 3, 2686, 9, 2200, 13, 187, 4, 237, 96, 9, 548, 6]	[473, 12, 69, 561, 4, 96, 548]	[39, 473, 3569, 3618, 3608, 257, 2220, 5]	[146, 487, 408, 321, 69, 561, 4, 96, 548, 31, 11, 26, 2798, 4, 3, 2826, 26, 1463, 671, 502, 5]
15986315_66_A1LZPWVZRTUZD0	dev	0	[98, 4250, 9, 474, 11, 219, 267, 550, 53, 2738, 957, 16, 3, 212]	[98, 4250, 9, 474, 11, 219, 83, 53, 2738, 957, 16, 3, 212]	[571, 512, 19, 2459, 457, 4250, 9, 474, 6]	[1680, 12, 345, 7, 552]	[33, 1680, 884, 7, 2558, 5]	[33, 2502, 718, 41, 101, 9, 7, 552, 13, 3, 113, 41, 80, 2548, 5]
16803626_23_A3PILUAB7LZGWQ	dev	0	[286, 3190, 51, 492, 29, 1279]	[286, 3190, 51, 5687, 60, 492, 29, 1279]	[5314, 774, 242, 7, 72, 3190, 685, 53, 551, 6]	[5315, 3640, 1440]	[121, 5316, 5286, 5386, 5]	[146, 72, 886, 4695, 94, 743, 69, 633, 7, 773, 16, 145, 562, 5, 58, 26, 1865, 72, 886, 14, 31, 1167, 20, 5]
15885882_232_AE861G0AY5RGT	dev	1	[7, 173, 1633, 16, 3, 120, 51, 3, 916, 4, 138, 101, 30, 4, 3, 136, 53, 20, 152, 4, 1456, 42]	[7, 173, 1633, 16, 3, 120, 4015, 10, 19, 3, 916, 4, 138, 101, 30, 4, 3, 136, 53, 20, 152, 4, 1456, 42]	[1449, 17, 15, 1547, 57, 24, 389, 22, 593, 16, 3, 556, 8, 150, 6]	[2845, 1466, 1449]	[25, 111, 1466, 1449, 111, 89, 2499, 5]	[2491, 2493, 1959, 11, 1223, 13, 52, 690, 4, 3, 958, 1375, 21, 7, 173, 1633, 16, 3, 113, 12, 7, 113, 1222, 6, 33, 63, 7, 44, 741, 5]
15418829_270_A2QVMCGDLTWV9	dev	0	[3, 2856, 384, 1438, 1767, 5464, 4417, 984]	[3, 2856, 384, 12, 630, 4, 5747, 4417, 984]	[48, 2856, 384, 854, 180, 4417, 6]	[361, 384, 12, 10, 69, 1211]	[33, 3, 361, 386, 257, 3726, 5]	[33, 2522, 2316, 3, 95, 64, 4, 472, 715, 547, 5, 287, 12, 274, 95, 3716, 3681, 5]
15164629_468_A3C9GGDXBZW62D	dev	1	[4425, 23, 18, 35, 4, 15, 4629, 4, 15, 826]	[4425, 35, 4, 15, 4629, 4, 15, 826]	[1795, 4425, 19, 443, 94, 5690, 6]	[1795, 12, 10, 7, 1282, 381]	[33, 1795, 7, 2759, 1999, 5]	[39, 49, 117, 35, 4, 1467, 105, 2840, 2841, 28, 795, 9, 52, 2806, 2189, 5]
15978831_359_A1DJNUJZN8FE7N	dev	1	[268, 27, 624, 3, 4934, 99, 101, 2546]	[268, 27, 10, 624, 3, 4934, 99, 262, 2546]	[571, 512, 155, 803, 9, 3, 5551, 268, 51, 4, 509, 99, 839, 157, 3, 341, 6]	[1680, 12, 345, 7, 552]	[33, 1680, 884, 7, 2558, 5]	[33, 2502, 718, 41, 101, 9, 7, 552, 13, 3, 113, 41, 80, 2548, 5]
16630140_37_A2QVMCGDLTWV9	dev	1	[1354, 1559, 2852, 29, 3, 412, 9, 354]	[1354, 59, 10, 498, 2852, 29, 3, 412, 9, 354]	[2773, 19, 85, 109, 661, 560, 4, 68, 7, 1354, 6]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
14663382_122_A34QZDSTKZ3JO9	dev	0	[55, 11, 1444, 1785, 54, 205, 3, 120]	[55, 11, 390, 54, 205, 3, 120]	[47, 4565, 487, 11, 629, 3700, 548, 54, 205, 3, 120, 8, 20, 12, 10, 5473, 6]	[473, 12, 69, 561, 4, 96, 548]	[39, 473, 3569, 3618, 3608, 257, 2220, 5]	[146, 487, 408, 321, 69, 561, 4, 96, 548, 31, 11, 26, 2798, 4, 3, 2826, 26, 1463, 671, 502, 5]
15167053_560_A1LZPWVZRTUZD0	dev	0	[1508, 12, 358, 2838, 3, 172]	[1508, 12, 817, 856, 34, 5879, 2838, 3, 172]	[5672, 1791, 2805, 4, 15, 2799, 6]	[1795, 12, 7, 1282, 381]	[33, 1795, 7, 2759, 1999, 5]	[39, 49, 117, 35, 4, 1467, 105, 2840, 2841, 28, 795, 9, 52, 2806, 2189, 5]
